stars,size,forks_count,open_issues,has_wiki,has_pages,has_issues,has_projects,num_topics,javascript,typescript,python,rust,other_language,desc_word_count,created_at,updated_at,pushed_at,has_homepage,mit_license,nan_license,apache_license,other_license,remain_license
43332,49973,1562,139,True,False,True,True,16,False,False,True,False,False,14,437054,467983,467909,1,1,0,0,0,0
43316,4611,9644,20,True,True,True,True,19,False,False,True,False,False,23,436143,467982,467949,0,0,0,0,1,0
43232,234623,9398,123,False,False,True,False,13,True,False,False,False,False,11,379905,467981,467983,1,1,0,0,0,0
43119,5900,2177,730,True,True,True,True,6,True,False,False,False,False,14,423151,467981,467862,1,1,0,0,0,0
43112,120068,4612,614,True,True,True,True,13,False,False,False,False,True,5,400601,467981,467983,1,1,0,0,0,0
43081,30468,8083,19,True,False,True,False,11,False,False,False,False,True,13,434569,467983,467958,1,0,0,0,0,1
42892,13400,6779,5,False,False,True,False,13,False,False,False,False,True,12,390278,467982,467893,1,1,0,0,0,0
42818,21541,6867,58,True,False,True,True,4,True,False,False,False,False,8,406462,467975,467505,1,1,0,0,0,0
42759,10242,15140,218,True,False,True,True,6,False,False,False,False,True,11,402013,467982,462859,0,0,0,0,1,0
42680,13313,11503,188,True,False,True,True,3,False,False,False,False,True,16,404076,467980,467972,0,0,0,1,0,0
42552,135125,9381,335,True,True,True,True,0,True,False,False,False,False,4,362164,467982,467967,1,0,0,1,0,0
42534,131633,18092,88,False,False,True,True,5,True,False,False,False,False,10,385537,467983,467959,1,1,0,0,0,0
42464,55238,8690,35,False,False,True,False,8,False,False,False,False,True,9,400377,467983,467689,1,1,0,0,0,0
42403,7568,2497,46,False,False,True,True,12,False,False,False,False,True,6,389509,467976,467941,1,0,0,0,1,0
42396,266380,5196,4576,False,False,True,False,9,False,False,False,False,True,4,362045,467982,467980,1,1,0,0,0,0
42367,38387,2263,765,False,False,True,True,11,True,False,False,False,False,9,417254,467983,467983,1,1,0,0,0,0
42326,203947,16614,311,True,True,True,False,5,False,False,False,False,True,7,385572,467981,467983,1,0,0,0,0,1
42273,205650,4728,845,False,False,True,False,11,False,False,False,False,True,7,386712,467981,467844,1,1,0,0,0,0
42254,9495,4457,248,True,False,True,True,0,False,False,False,False,True,20,466648,467983,467979,0,1,0,0,0,0
42250,1981,5503,54,True,True,True,True,4,False,False,False,False,True,5,424620,467983,467977,0,0,0,0,0,1
42237,97695,5626,825,False,False,True,True,7,False,True,False,False,False,10,392195,467980,467983,1,1,0,0,0,0
42139,1790,10450,84,False,False,True,True,0,False,False,False,False,True,14,381371,467983,465784,1,1,0,0,0,0
42128,28254,4169,69,True,False,True,True,19,False,False,False,True,False,13,444805,467983,467981,1,0,0,0,0,1
