size,stars,forks_count,open_issues,has_wiki,has_pages,has_issues,has_projects,has_discussions,author_type,contributors,commits,comments,deployments,num_topics,javascript,typescript,python,rust,other_language,desc_word_count,created_at,updated_at,pushed_at,has_homepage,mit_license,nan_license,apache_license,other_license,remain_license
1137124,50467,3769,268,False,False,True,True,True,Organization,401,19953,8540,57919,10,False,True,False,False,False,13,436344,467979,467979,1,0,0,1,0,0
379,50369,11019,75,False,True,True,False,False,User,36,360,92,8,3,False,False,False,False,True,6,362356,467975,467032,1,1,0,0,0,0
21853,50338,10036,54,False,False,True,False,True,Organization,429,6089,775,0,0,False,True,False,False,False,4,388960,467978,467926,1,1,0,0,0,0
12845,49552,9089,283,True,False,True,False,False,Organization,407,6156,364,237,8,False,False,True,False,False,6,360445,467977,467862,1,0,0,1,0,0
211841,49109,3470,463,True,False,True,True,True,User,91,1007,37,0,15,False,False,False,False,True,5,439953,467980,467937,1,0,0,0,0,1
1059608,49031,13646,493,True,False,True,False,True,Organization,401,12874,645,0,17,False,True,False,False,False,19,382505,467980,467976,1,1,0,0,0,0
179658,48486,9948,12,True,True,False,False,True,Organization,120,1533,11,209,11,False,False,False,False,True,11,448532,467979,467690,1,1,0,0,0,0
42414,48470,4130,1048,False,False,True,True,True,Organization,234,3084,3098,27834,6,False,True,False,False,False,7,438307,467980,467979,1,1,0,0,0,0
103959,48318,12933,723,True,False,True,True,False,User,49,238,9,0,4,False,False,True,False,False,12,413488,467979,467859,0,1,0,0,0,0
164642,48253,8157,892,True,False,True,True,True,Organization,362,11211,236,0,7,False,False,False,False,True,8,376037,467980,467955,1,0,0,1,0,0
1778238,48080,9628,215,False,True,True,True,False,Organization,26,209,40,13,7,False,False,False,False,True,5,392436,467980,466534,1,0,0,1,0,0
16821,47816,12610,17,False,True,False,True,False,User,233,1749,5,45,17,False,False,True,False,False,13,410209,467980,467959,1,1,0,0,0,0
67978,47737,6871,592,True,True,True,True,True,Organization,416,12839,500,10,11,False,False,False,False,True,14,383493,467980,467970,1,0,0,0,0,1
44407,47718,3924,1197,True,True,True,True,True,Organization,386,21691,314,2,8,False,False,True,False,False,8,445462,467980,467980,1,0,0,0,0,1
88218,47635,8472,857,True,False,True,False,True,User,329,7352,237,0,14,False,False,False,False,True,11,390536,467979,467978,0,1,0,0,0,0
420011,47515,10547,740,True,True,True,True,False,Organization,293,6065,292,1564,2,False,False,False,False,True,5,389266,467979,467921,0,0,0,1,0,0
3752,47373,9225,384,True,True,False,True,False,User,214,2512,168,68,0,False,False,True,False,False,7,373738,467979,467892,1,0,0,0,1,0
20992,47370,7146,273,False,False,True,True,False,Organization,405,3980,117,0,0,True,False,False,False,False,8,360813,467977,467675,1,1,0,0,0,0
17083,47328,3633,80,False,False,True,False,False,Organization,194,1678,224,0,16,False,False,False,False,True,10,394766,467979,467978,1,0,0,1,0,0
1401,47259,7996,46,False,True,True,True,False,User,127,554,5,62,4,False,False,False,False,True,10,393349,467979,467551,0,0,1,0,0,0
24667,47250,9993,736,True,False,True,True,False,Organization,377,9803,98,0,8,False,False,True,False,False,11,351884,467978,467977,1,0,0,0,0,1
91071,47248,2838,1444,True,True,True,True,True,User,103,5693,25,477,5,False,True,False,False,False,7,411795,467978,467975,1,1,0,0,0,0
