branches,commits,createdAt,diskUsage,followers,following,forkCount,gistComments,gistStar,gists,hasWikiEnabled,iClosedComments,iClosedParticipants,iOpenComments,iOpenParticipants,issuesClosed,issuesOpen,members,organizations,prClosed,prClosedComments,prClosedCommits,prMerged,prMergedComments,prMergedCommits,prOpen,prOpenComments,prOpenCommits,pushedAt,readmeCharCount,readmeLinkCount,readmeSize,readmeWordCount,releases,repositories,stars,subscribersCount,tags,type,updatedAt,websiteUrl,desWordCount,desCharCount,mit_license,nan_license,apache_license,other_license,remain_license,JavaScript,Python,Java,Objective-C,Ruby,PHP,other_language
58,2,73.0,393982,68,119.0,70.0,5,10.0,15.0,43.0,1,3,7,1,3,6,3,0.0,1.0,0,0,0,1,0,3,0,0,0,417974,7782,16,7782,1127,0,145,124,3,30,1,418440,1,41,244,1,0,0,0,0,0,0,0,0,1,0,0
59,1,61.0,393964,1038,25.0,55.0,6,0.0,0.0,2.0,1,10,6,1,2,3,1,0.0,2.0,0,0,0,1,3,2,0,0,0,414812,0,0,0,0,0,14,126,4,0,1,421417,1,8,58,0,0,0,1,0,0,0,0,0,0,0,1
60,2,32.0,393978,45,544.0,24.0,13,0.0,0.0,2.0,1,18,11,15,19,3,9,0.0,0.0,2,3,2,1,0,1,3,6,5,411177,0,0,0,0,0,54,127,13,0,1,421803,0,3,36,0,1,0,0,0,0,1,0,0,0,0,0
61,4,20.0,393970,1565,106.0,9.0,36,1.0,0.0,1.0,0,10,9,5,6,5,2,0.0,0.0,1,3,1,0,0,0,1,0,2,405116,5288,26,5290,770,3,10,148,14,4,1,420609,1,6,47,1,0,0,0,0,0,0,0,0,0,0,1
62,1,9.0,393974,555,134.0,39.0,36,0.0,0.0,1.0,1,0,0,0,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,406353,982,4,1988,78,0,12,151,10,0,1,421422,1,2,70,0,1,0,0,0,0,0,0,0,0,1,0
63,1,17.0,393976,500,246.0,132.0,29,6.0,7.0,26.0,1,2,2,0,1,1,1,0.0,0.0,0,0,0,1,0,1,0,0,0,421385,1610,1,1610,163,0,83,153,14,0,1,420906,1,12,75,1,0,0,0,0,0,0,0,0,0,0,1
64,11,178.0,393973,214,29.0,8.0,24,3.0,12.0,34.0,1,83,45,18,18,26,13,0.0,0.0,2,11,6,9,15,16,0,0,0,421643,6178,8,6178,1088,8,85,156,23,8,1,421896,1,7,44,0,0,0,0,1,0,0,0,0,0,0,1
65,2,35.0,393980,2756,167.0,77.0,38,19.0,23.0,58.0,1,0,0,1,1,0,1,0.0,2.0,0,0,0,11,12,42,1,0,7,419157,1814,4,1814,310,0,99,160,14,0,1,420990,1,9,55,0,1,0,0,0,0,0,1,0,0,0,0
66,4,126.0,393967,1129,27.0,17.0,6,2.0,7.0,59.0,0,20,18,0,5,10,4,0.0,4.0,0,0,0,3,2,11,0,0,0,421748,2272,5,2273,317,2,123,176,7,7,1,421895,1,6,30,0,0,0,0,1,0,0,0,0,0,0,1
67,1,4.0,393965,3812,378.0,41.0,43,0.0,0.0,0.0,1,0,0,3,10,0,7,0.0,0.0,0,0,0,0,0,0,0,0,0,398743,7826,24,9882,782,1,60,184,28,1,1,421806,1,8,64,1,0,0,0,0,0,0,0,0,0,0,1
